date_measured,temperature
2022-06-04 11:18:53+09,32.5
2022-06-04 11:23:53+09,32.5
2022-06-04 11:28:53+09,32.5625
2022-06-04 11:33:53+09,31.8125
2022-06-04 11:38:53+09,32.4375
2022-06-04 11:43:53+09,32.6875
2022-06-04 11:48:53+09,32.375
2022-06-04 11:53:53+09,32.6875
2022-06-04 11:58:53+09,32.4375
2022-06-04 12:03:53+09,32.5
2022-06-04 12:08:53+09,32.625
2022-06-04 12:13:53+09,32.625
2022-06-04 12:18:53+09,32.8125
2022-06-04 12:23:53+09,32.875
2022-06-04 12:28:53+09,32.9375
2022-06-04 12:33:53+09,32.25
2022-06-04 12:38:53+09,32.125
2022-06-04 12:43:53+09,32.5
2022-06-04 12:48:53+09,31.75
2022-06-04 12:53:53+09,32.5
2022-06-04 12:58:53+09,32.5
2022-06-04 13:03:53+09,33.4375
2022-06-04 13:08:53+09,33.4375
2022-06-04 13:13:53+09,34.4375
2022-06-04 13:18:53+09,34.375
2022-06-04 13:23:53+09,34.625
2022-06-04 13:28:53+09,34.1875
2022-06-04 13:33:53+09,34.875
2022-06-04 13:38:53+09,34.875
2022-06-04 13:43:53+09,35
2022-06-04 13:48:53+09,35
2022-06-04 13:53:53+09,34.125
2022-06-04 13:58:53+09,33.8125
2022-06-04 14:03:53+09,34.1875
2022-06-04 14:08:53+09,34.5625
2022-06-04 14:13:53+09,34.9375
2022-06-04 14:18:53+09,34.875
2022-06-04 14:23:53+09,34.1875
2022-06-04 14:28:53+09,33.6875
2022-06-04 14:33:53+09,33.6875
2022-06-04 14:38:53+09,34.0625
2022-06-04 14:43:53+09,34.25
2022-06-04 14:48:53+09,32.6875
2022-06-04 14:53:53+09,32.9375
2022-06-04 14:58:53+09,32.5625
2022-06-04 15:03:53+09,33.625
2022-06-04 15:08:53+09,33.9375
2022-06-04 15:13:53+09,33.75
2022-06-04 15:18:53+09,33.9375
2022-06-04 15:23:53+09,34.25
2022-06-04 15:28:53+09,33.8125
2022-06-04 15:33:53+09,34
2022-06-04 15:38:53+09,33.8125
2022-06-04 15:43:53+09,33.9375
2022-06-04 15:48:53+09,34.0625
2022-06-04 15:53:53+09,33.9375
2022-06-04 15:58:53+09,33.125
2022-06-04 16:03:54+09,33.0625
2022-06-04 16:08:54+09,32.875
2022-06-04 16:13:54+09,33.0625
2022-06-04 16:18:54+09,32.625
2022-06-04 16:23:54+09,32.4375
2022-06-04 16:28:54+09,32.125
2022-06-04 16:33:54+09,34.5
2022-06-04 16:38:54+09,39.0625
2022-06-04 16:43:54+09,40.875
2022-06-04 16:48:54+09,40.9375
2022-06-04 16:53:54+09,30.9375
2022-06-04 16:58:54+09,31.4375
2022-06-04 17:03:54+09,40.4375
2022-06-04 17:08:54+09,40.9375
2022-06-04 17:13:54+09,31.0625
2022-06-04 17:18:54+09,37.375
2022-06-04 17:23:54+09,36.625
2022-06-04 17:28:54+09,32.0625
2022-06-04 17:33:54+09,31.1875
2022-06-04 17:38:54+09,29.3125
2022-06-04 17:43:54+09,28.8125
2022-06-04 17:48:54+09,30.25
2022-06-04 17:53:54+09,31.125
2022-06-04 17:58:54+09,32.6875
2022-06-04 18:03:54+09,33.0625
2022-06-04 18:08:54+09,33.0625
2022-06-04 18:13:54+09,33.0625
2022-06-04 18:18:54+09,32.25
2022-06-04 18:23:54+09,31.5625
2022-06-04 18:28:54+09,31.3125
2022-06-04 18:33:54+09,31.375
2022-06-04 18:38:54+09,32.3125
2022-06-04 18:43:54+09,31.3125
2022-06-04 18:48:54+09,31.625
2022-06-04 18:53:54+09,31.125
2022-06-04 18:58:54+09,31.3125
2022-06-04 19:03:54+09,31.375
2022-06-04 19:08:54+09,32
2022-06-04 19:13:54+09,31.625
2022-06-04 19:18:54+09,29.875
2022-06-04 19:23:54+09,30.5625
2022-06-04 19:28:54+09,32.25
2022-06-04 19:33:54+09,32.4375
2022-06-04 19:38:54+09,33.0625
2022-06-04 19:43:54+09,32.9375
2022-06-04 19:48:54+09,33.25
2022-06-04 19:53:54+09,33.0625
2022-06-04 19:58:54+09,33.125
2022-06-04 20:03:54+09,33.125
2022-06-04 20:08:54+09,33.125
2022-06-04 20:13:54+09,33.3125
2022-06-04 20:18:54+09,33.375
2022-06-04 20:23:54+09,33.75
2022-06-04 20:28:54+09,33.6875
2022-06-04 20:33:54+09,33.625
2022-06-04 20:38:54+09,33.6875
2022-06-04 20:43:54+09,33.875
2022-06-04 20:48:54+09,34.1875
2022-06-04 20:53:54+09,34.3125
2022-06-04 20:58:54+09,34.4375
2022-06-04 21:03:54+09,34.8125
2022-06-04 21:08:54+09,34.625
2022-06-04 21:13:54+09,34.25
2022-06-04 21:18:54+09,33.9375
2022-06-04 21:23:54+09,34.125
2022-06-04 21:28:54+09,34.1875
2022-06-04 21:33:54+09,34.25
2022-06-04 21:38:54+09,34.25
2022-06-04 21:43:54+09,34.0625
2022-06-04 21:48:54+09,34.125
2022-06-04 21:53:54+09,34.125
2022-06-04 21:58:54+09,33.8125
2022-06-04 22:03:54+09,34.3125
2022-06-04 22:08:54+09,34.375
2022-06-04 22:13:54+09,34.1875
2022-06-04 22:18:54+09,34.25
2022-06-04 22:23:54+09,34.125
2022-06-04 22:28:54+09,34.3125
2022-06-04 22:33:54+09,34.375
2022-06-04 22:38:54+09,34.125
2022-06-04 22:43:54+09,34
2022-06-04 22:48:54+09,33.6875
2022-06-04 22:53:54+09,34.125
2022-06-04 22:58:54+09,34
2022-06-04 23:03:54+09,33.4375
2022-06-04 23:08:54+09,31.3125
2022-06-04 23:13:54+09,32.125
2022-06-04 23:18:54+09,31.4375
2022-06-04 23:23:54+09,31.6875
2022-06-04 23:28:55+09,32.8125
2022-06-04 23:33:55+09,32.4375
2022-06-04 23:38:55+09,32.9375
